               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061835,            0.023086,            0.031697,             0.64529,             0.60481,             0.65392,             0.36967,            0.035434,           0.0070003,            0.011026,            0.070064,           0.0033263,           0.0033263
                   1,            0.044154,            0.017435,            0.010988,             0.83806,             0.83463,             0.87584,             0.55624,            0.028226,           0.0060531,           0.0052861,            0.039998,           0.0065937,           0.0065937
                   2,            0.042755,            0.017844,            0.010951,             0.72176,             0.65171,             0.69973,             0.37753,            0.031373,           0.0076258,           0.0087257,           0.0098657,           0.0097951,           0.0097951
                   3,             0.04338,             0.01934,            0.012817,             0.69204,             0.63364,             0.68762,             0.37265,            0.032582,           0.0080107,           0.0068505,            0.009703,            0.009703,            0.009703
                   4,            0.040693,            0.018298,            0.010677,             0.79402,             0.76669,             0.83915,             0.51397,            0.028454,           0.0066115,           0.0050579,            0.009703,            0.009703,            0.009703
                   5,            0.037931,            0.017654,           0.0088476,             0.85565,             0.81895,             0.88662,             0.56541,            0.026428,           0.0064587,           0.0034001,            0.009604,            0.009604,            0.009604
                   6,            0.035996,             0.01718,           0.0077903,             0.83532,             0.78992,             0.86062,             0.54789,            0.024769,           0.0066089,           0.0031771,            0.009505,            0.009505,            0.009505
                   7,            0.035085,            0.016906,           0.0072006,             0.88747,             0.82723,             0.90328,             0.60322,            0.024511,           0.0062074,           0.0035164,            0.009406,            0.009406,            0.009406
                   8,            0.034085,             0.01623,           0.0059066,             0.90018,             0.85916,              0.9268,             0.64332,            0.022976,           0.0055723,           0.0016903,            0.009307,            0.009307,            0.009307
                   9,            0.033944,            0.016191,           0.0065935,             0.87582,             0.85417,             0.92105,             0.62947,            0.022704,           0.0057884,           0.0031489,            0.009208,            0.009208,            0.009208
                  10,            0.032976,            0.015676,           0.0058141,             0.93752,             0.88257,              0.9482,             0.68788,            0.021497,           0.0053906,           0.0013464,            0.009109,            0.009109,            0.009109
                  11,            0.032352,            0.015532,           0.0056623,             0.92359,             0.88831,             0.94054,             0.65548,            0.022046,           0.0056745,             0.00177,             0.00901,             0.00901,             0.00901
                  12,            0.031673,            0.015617,           0.0051831,             0.91534,             0.90597,             0.94716,               0.694,            0.021261,           0.0052769,           0.0017001,            0.008911,            0.008911,            0.008911
                  13,            0.031579,            0.015143,           0.0050333,             0.93449,              0.9065,             0.95287,             0.69548,            0.020653,           0.0051996,           0.0011512,            0.008812,            0.008812,            0.008812
                  14,             0.03082,            0.015111,           0.0049227,             0.93995,             0.91852,             0.95362,             0.70665,             0.02132,           0.0052752,          0.00094251,            0.008713,            0.008713,            0.008713
                  15,            0.030998,            0.015007,           0.0051737,             0.91932,             0.91835,             0.95535,             0.70673,            0.020879,           0.0050754,           0.0011207,            0.008614,            0.008614,            0.008614
                  16,            0.030308,             0.01494,           0.0049622,              0.9184,             0.91594,             0.95166,             0.69968,            0.020096,            0.005067,          0.00084154,            0.008515,            0.008515,            0.008515
                  17,            0.029693,            0.014615,           0.0047278,             0.94716,             0.89918,             0.95679,             0.71598,            0.020144,           0.0051199,          0.00092038,            0.008416,            0.008416,            0.008416
                  18,            0.029554,            0.014716,           0.0046167,             0.94742,              0.9257,              0.9642,             0.72508,             0.01961,           0.0050189,          0.00082277,            0.008317,            0.008317,            0.008317
                  19,            0.029444,            0.014599,            0.004137,             0.95665,             0.90716,             0.95994,             0.73188,            0.018994,           0.0049419,           0.0007762,            0.008218,            0.008218,            0.008218
                  20,            0.028897,            0.014436,           0.0042775,             0.94412,             0.92803,             0.96779,             0.74215,            0.018886,           0.0048554,          0.00072587,            0.008119,            0.008119,            0.008119
                  21,            0.028513,            0.014089,           0.0037293,             0.94181,             0.93932,             0.96678,             0.74208,            0.019277,           0.0048044,           0.0005989,             0.00802,             0.00802,             0.00802
                  22,            0.028402,            0.013984,           0.0038321,             0.95207,             0.93502,             0.96796,             0.75029,            0.018893,           0.0047236,          0.00063982,            0.007921,            0.007921,            0.007921
                  23,            0.028486,             0.01416,            0.003826,             0.96011,             0.93461,             0.96642,             0.75017,            0.018595,           0.0047136,          0.00088955,            0.007822,            0.007822,            0.007822
                  24,            0.027837,            0.013858,           0.0032221,             0.95286,             0.94239,             0.97374,             0.75712,             0.01822,           0.0046231,          0.00048001,            0.007723,            0.007723,            0.007723
                  25,            0.027817,            0.013981,           0.0038136,             0.94386,             0.94266,             0.97059,              0.7556,             0.01825,           0.0046916,          0.00071374,            0.007624,            0.007624,            0.007624
                  26,            0.027627,            0.013549,           0.0033691,             0.95155,             0.93942,             0.97215,             0.75234,            0.018227,            0.004619,          0.00060386,            0.007525,            0.007525,            0.007525
                  27,            0.027341,            0.013584,           0.0034867,             0.95474,             0.94045,             0.97292,             0.76208,            0.018083,           0.0045491,          0.00054894,            0.007426,            0.007426,            0.007426
                  28,            0.027623,             0.01366,           0.0030573,             0.96019,             0.93953,             0.97317,             0.76771,            0.017523,           0.0045148,           0.0004507,            0.007327,            0.007327,            0.007327
