                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2541,                 4.4398,                 4.1966,                0.75841,                0.02558,                 0.0153,                0.00332,                 3.1086,                    inf,                 5.5639,              0.0033263,              0.0033263,              0.0033263
                      2,                 2.1742,                 3.1063,                 2.8284,                0.29612,                0.42044,                0.26487,                0.12636,                 2.1178,                 4.1907,                  2.816,              0.0065937,              0.0065937,              0.0065937
                      3,                 1.6003,                 2.2975,                 2.1319,                0.60395,                 0.5383,                0.58972,                0.33889,                 1.6337,                 2.4213,                 2.2401,              0.0097951,              0.0097951,              0.0097951
                      4,                 1.3902,                 1.9099,                 1.8788,                0.77432,                0.67573,                0.75499,                0.50294,                 1.2624,                  1.516,                 1.8252,               0.009703,               0.009703,               0.009703
                      5,                 1.2519,                 1.6213,                  1.713,                0.69294,                 0.6514,                0.70961,                 0.4874,                 1.2313,                 1.7524,                 1.7916,               0.009703,               0.009703,               0.009703
                      6,                 1.1609,                 1.4137,                 1.6065,                0.89812,                0.79939,                0.87726,                0.64481,                  1.056,                 1.0247,                  1.572,               0.009604,               0.009604,               0.009604
                      7,                 1.0985,                 1.2814,                 1.5402,                0.88797,                0.81754,                0.89314,                0.66791,                 1.0025,                0.92444,                 1.5156,               0.009505,               0.009505,               0.009505
                      8,                 1.0448,                 1.1764,                 1.4888,                0.91854,                0.84422,                0.90533,                0.69844,                0.94027,                 0.8214,                 1.4367,               0.009406,               0.009406,               0.009406
                      9,                  1.017,                 1.1074,                 1.4611,                0.93085,                0.84984,                0.91593,                0.70448,                0.89615,                0.78474,                 1.3894,               0.009307,               0.009307,               0.009307
                     10,                 1.0027,                 1.0664,                 1.4468,                0.92333,                0.85279,                0.91289,                0.71865,                0.86814,                0.76555,                  1.363,               0.009208,               0.009208,               0.009208
                     11,                0.97954,                 1.0255,                 1.4219,                0.93995,                0.85222,                 0.9281,                0.73244,                0.84839,                0.74966,                 1.3458,               0.009109,               0.009109,               0.009109
                     12,                0.95771,                0.99293,                  1.405,                0.94592,                0.87325,                0.93526,                0.74769,                0.82368,                0.66744,                 1.3198,                0.00901,                0.00901,                0.00901
                     13,                0.93261,                0.95166,                 1.3805,                0.94184,                0.87904,                0.93338,                0.75149,                0.80526,                0.68367,                 1.2985,               0.008911,               0.008911,               0.008911
                     14,                 0.9162,                0.91969,                 1.3728,                0.93867,                0.89606,                0.94279,                0.76428,                0.80818,                0.62188,                 1.2825,               0.008812,               0.008812,               0.008812
                     15,                 0.9111,                0.90829,                 1.3596,                0.94803,                0.89735,                0.94317,                0.77537,                0.78515,                0.62631,                 1.2666,               0.008713,               0.008713,               0.008713
                     16,                0.88948,                0.87114,                 1.3433,                0.93372,                0.91518,                0.95259,                0.77937,                0.75749,                0.57683,                 1.2471,               0.008614,               0.008614,               0.008614
                     17,                 0.8707,                0.84263,                 1.3274,                0.95303,                0.90704,                0.94954,                0.80091,                0.72502,                0.55191,                 1.2159,               0.008515,               0.008515,               0.008515
                     18,                0.86836,                0.83647,                 1.3234,                0.94746,                0.89965,                0.95312,                0.79779,                0.73606,                0.53982,                 1.2289,               0.008416,               0.008416,               0.008416
                     19,                0.85596,                0.81258,                 1.3104,                 0.9537,                0.90913,                0.95581,                 0.8086,                0.70565,                0.51702,                 1.2011,               0.008317,               0.008317,               0.008317
                     20,                 0.8406,                 0.7905,                 1.3031,                0.96437,                0.90119,                 0.9556,                0.80557,                0.71368,                0.51656,                  1.193,               0.008218,               0.008218,               0.008218
                     21,                0.83795,                 0.7881,                 1.3027,                0.96579,                0.91957,                0.95958,                0.81829,                0.70172,                0.49469,                 1.1842,               0.008119,               0.008119,               0.008119
                     22,                0.82334,                  0.764,                 1.2866,                0.96514,                0.91667,                0.95916,                0.81892,                 0.6836,                0.49733,                 1.1661,                0.00802,                0.00802,                0.00802
