                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92356,                 1.6091,                 1.3173,                0.84211,                0.82407,                0.87897,                0.64072,                0.94362,                0.83228,                 1.3856,              0.0033263,              0.0033263,              0.0033263
                      2,                0.85241,                0.81622,                 1.2417,                0.88161,                0.83596,                  0.906,                0.67926,                0.90213,                 0.7787,                 1.3543,              0.0065937,              0.0065937,              0.0065937
                      3,                0.93409,                0.91153,                 1.2987,                0.72892,                0.59534,                0.70121,                0.45567,                 1.3106,                 1.4713,                 1.7617,              0.0097951,              0.0097951,              0.0097951
                      4,                0.99591,                 1.0075,                 1.3364,                0.82643,                0.76332,                0.83671,                0.58762,                 1.0814,                 1.0052,                 1.5342,               0.009703,               0.009703,               0.009703
                      5,                0.95964,                 0.9327,                 1.3123,                0.91857,                0.84694,                0.92747,                0.69615,                 0.9328,                0.75841,                 1.3564,               0.009703,               0.009703,               0.009703
                      6,                0.91436,                0.85101,                 1.2771,                0.89135,                0.88289,                 0.9317,                0.71388,                 0.8678,                0.69403,                 1.3171,               0.009604,               0.009604,               0.009604
                      7,                0.87973,                0.79449,                 1.2544,                0.93164,                0.89167,                 0.9491,                0.74566,                 0.8452,                0.63715,                 1.2733,               0.009505,               0.009505,               0.009505
                      8,                0.84301,                0.74287,                 1.2308,                0.95549,                0.90075,                0.96058,                 0.7669,                0.79507,                0.59087,                   1.24,               0.009406,               0.009406,               0.009406
                      9,                0.81878,                0.72063,                 1.2188,                0.92731,                0.89904,                 0.9465,                0.75875,                0.80813,                0.59971,                 1.2268,               0.009307,               0.009307,               0.009307
                     10,                0.81376,                0.70212,                 1.2072,                0.94789,                0.92355,                0.96214,                0.78453,                0.77258,                0.52356,                 1.1927,               0.009208,               0.009208,               0.009208
                     11,                0.80475,                 0.6756,                 1.2017,                0.95208,                0.90997,                0.95894,                0.77305,                 0.7803,                0.55007,                 1.2174,               0.009109,               0.009109,               0.009109
                     12,                0.78446,                0.66094,                 1.1873,                0.96312,                0.94009,                0.96992,                0.80076,                0.74783,                0.49308,                 1.1782,                0.00901,                0.00901,                0.00901
                     13,                0.76706,                0.64021,                  1.176,                0.97259,                 0.9261,                0.97064,                0.81381,                0.71122,                0.46701,                 1.1554,               0.008911,               0.008911,               0.008911
                     14,                0.75544,                  0.622,                 1.1702,                 0.9603,                0.94555,                0.97188,                0.82484,                0.69454,                0.45945,                 1.1324,               0.008812,               0.008812,               0.008812
                     15,                0.75178,                0.61777,                 1.1671,                0.96392,                0.93321,                0.97324,                0.81986,                 0.6853,                0.44215,                 1.1402,               0.008713,               0.008713,               0.008713
                     16,                 0.7396,                0.59707,                 1.1566,                0.96421,                 0.9509,                0.97942,                0.83567,                0.67141,                 0.4233,                 1.1158,               0.008614,               0.008614,               0.008614
                     17,                 0.7229,                0.58185,                  1.148,                0.97187,                 0.9413,                0.97454,                 0.8295,                0.65888,                0.43416,                 1.1123,               0.008515,               0.008515,               0.008515
                     18,                0.72443,                0.58056,                 1.1476,                0.96939,                0.94218,                0.97895,                0.84013,                0.66017,                0.41561,                 1.1093,               0.008416,               0.008416,               0.008416
                     19,                0.71773,                0.56926,                  1.141,                0.96769,                 0.9481,                0.97685,                0.84131,                0.64998,                0.40609,                 1.1052,               0.008317,               0.008317,               0.008317
                     20,                0.70801,                0.55647,                 1.1383,                0.97745,                0.95394,                0.97778,                0.84725,                0.65115,                0.39108,                 1.1011,               0.008218,               0.008218,               0.008218
                     21,                0.70174,                0.55239,                 1.1337,                0.97933,                0.95887,                 0.9811,                0.84716,                 0.6403,                0.38711,                 1.0936,               0.008119,               0.008119,               0.008119
                     22,                0.69226,                0.54029,                 1.1265,                0.96811,                0.94906,                0.97887,                0.85146,                0.62448,                0.37604,                 1.0764,                0.00802,                0.00802,                0.00802
                     23,                0.69054,                0.53576,                 1.1265,                0.97437,                0.95544,                 0.9792,                0.84887,                0.62611,                0.38308,                 1.0771,               0.007921,               0.007921,               0.007921
                     24,                0.67996,                0.52778,                 1.1203,                0.97575,                0.95856,                0.98178,                0.85447,                0.62119,                0.36711,                 1.0695,               0.007822,               0.007822,               0.007822
                     25,                 0.6754,                0.52517,                  1.115,                0.97013,                0.96384,                0.98072,                0.86209,                0.60601,                0.36409,                 1.0632,               0.007723,               0.007723,               0.007723
                     26,                0.67567,                0.52095,                 1.1166,                0.97916,                0.95719,                0.98192,                0.86991,                0.58754,                0.35517,                 1.0448,               0.007624,               0.007624,               0.007624
                     27,                0.66667,                0.51181,                 1.1105,                0.97597,                0.95805,                0.98203,                0.86598,                0.58763,                0.35503,                 1.0388,               0.007525,               0.007525,               0.007525
                     28,                 0.6572,                0.49817,                 1.1033,                0.98222,                0.95932,                0.98382,                0.87087,                0.57871,                0.34706,                 1.0363,               0.007426,               0.007426,               0.007426
                     29,                0.65921,                0.50363,                 1.1089,                0.98254,                 0.9672,                 0.9843,                0.87416,                0.58176,                0.33813,                 1.0332,               0.007327,               0.007327,               0.007327
                     30,                0.65391,                0.49924,                 1.1036,                0.98577,                0.96714,                0.98312,                0.87587,                 0.5775,                0.34835,                 1.0382,               0.007228,               0.007228,               0.007228
                     31,                0.65572,                0.49323,                 1.1021,                0.98729,                0.96132,                0.98708,                 0.8791,                0.58289,                0.33307,                  1.039,               0.007129,               0.007129,               0.007129
                     32,                0.64639,                0.48982,                 1.0989,                0.98472,                 0.9657,                0.98604,                0.87974,                0.55996,                0.32779,                 1.0217,                0.00703,                0.00703,                0.00703
                     33,                0.63753,                 0.4829,                 1.0932,                0.98109,                0.97136,                0.98627,                0.87602,                0.56741,                0.32694,                 1.0284,               0.006931,               0.006931,               0.006931
                     34,                0.63967,                0.47891,                 1.0936,                0.98068,                0.95911,                0.98507,                0.88078,                0.56462,                 0.3284,                 1.0218,               0.006832,               0.006832,               0.006832
                     35,                0.63332,                0.47833,                 1.0884,                0.98614,                0.96168,                0.98471,                0.88382,                0.56491,                0.33261,                  1.024,               0.006733,               0.006733,               0.006733
                     36,                0.62699,                0.46731,                 1.0849,                0.98168,                0.97001,                0.98592,                0.88551,                0.55897,                0.31885,                 1.0168,               0.006634,               0.006634,               0.006634
                     37,                0.62453,                0.46848,                 1.0857,                0.98611,                0.96337,                0.98751,                0.88538,                0.56031,                0.31784,                 1.0162,               0.006535,               0.006535,               0.006535
                     38,                0.61959,                0.45786,                 1.0811,                0.98634,                0.96541,                0.98695,                0.88509,                0.55424,                0.31186,                 1.0132,               0.006436,               0.006436,               0.006436
                     39,                0.62069,                0.45837,                 1.0801,                0.98708,                 0.9659,                0.98714,                0.88558,                0.55614,                0.31109,                  1.013,               0.006337,               0.006337,               0.006337
                     40,                0.61338,                0.45451,                 1.0792,                0.98158,                0.96888,                0.98794,                0.89442,                0.54383,                0.30751,                 1.0029,               0.006238,               0.006238,               0.006238
                     41,                0.61001,                0.45267,                  1.074,                0.98552,                0.96411,                0.98776,                0.89415,                0.53805,                0.30051,                0.99911,               0.006139,               0.006139,               0.006139
                     42,                0.61034,                0.44927,                 1.0766,                0.98482,                0.96613,                0.98714,                0.89119,                 0.5391,                0.30246,                 1.0033,                0.00604,                0.00604,                0.00604
                     43,                0.60391,                0.44721,                 1.0717,                0.98532,                0.96758,                0.98732,                0.89151,                0.54128,                0.30169,                 1.0065,               0.005941,               0.005941,               0.005941
                     44,                0.60365,                0.44071,                 1.0705,                0.97747,                0.97328,                0.98835,                0.89249,                0.53331,                0.29603,                 1.0006,               0.005842,               0.005842,               0.005842
                     45,                0.59561,                0.43998,                 1.0688,                0.98584,                0.97109,                0.98833,                0.89542,                 0.5245,                0.28921,                0.99496,               0.005743,               0.005743,               0.005743
                     46,                0.59708,                0.43593,                 1.0663,                 0.9835,                0.97187,                0.98815,                0.89667,                0.52249,                0.29187,                0.99034,               0.005644,               0.005644,               0.005644
                     47,                0.59248,                0.43112,                 1.0661,                0.98352,                 0.9726,                0.98877,                0.89846,                 0.5226,                0.28616,                0.99135,               0.005545,               0.005545,               0.005545
                     48,                0.58857,                0.42989,                 1.0619,                0.98429,                0.97117,                0.98857,                0.89736,                0.52026,                0.28587,                0.98999,               0.005446,               0.005446,               0.005446
                     49,                 0.5851,                0.42427,                 1.0614,                0.98244,                0.97185,                 0.9882,                0.90051,                0.51724,                0.28654,                0.98705,               0.005347,               0.005347,               0.005347
                     50,                0.58008,                 0.4198,                 1.0592,                0.98913,                0.96746,                0.98884,                0.89976,                0.51889,                0.28556,                0.98753,               0.005248,               0.005248,               0.005248
                     51,                0.57847,                0.41982,                  1.058,                0.98772,                0.96968,                0.98924,                0.90151,                0.51588,                0.28528,                  0.984,               0.005149,               0.005149,               0.005149
                     52,                0.58231,                0.42188,                 1.0581,                0.98133,                0.97372,                0.98921,                 0.9021,                0.51416,                0.28412,                 0.9819,                0.00505,                0.00505,                0.00505
                     53,                0.57309,                0.41418,                 1.0539,                0.98171,                0.97481,                 0.9895,                0.90445,                0.51271,                0.28398,                0.98219,               0.004951,               0.004951,               0.004951
                     54,                0.57815,                0.41868,                 1.0565,                0.98208,                0.97316,                0.98956,                0.90482,                0.51609,                0.28577,                0.98361,               0.004852,               0.004852,               0.004852
                     55,                0.56726,                0.41213,                  1.052,                0.98372,                0.97214,                0.98946,                 0.9047,                0.51198,                0.28434,                0.98125,               0.004753,               0.004753,               0.004753
                     56,                0.56521,                0.40905,                 1.0498,                0.98454,                0.97178,                0.98926,                0.90656,                0.51161,                0.28353,                0.98247,               0.004654,               0.004654,               0.004654
                     57,                0.56408,                0.40213,                  1.048,                0.98487,                 0.9708,                0.98929,                0.90618,                0.51158,                0.28397,                0.98254,               0.004555,               0.004555,               0.004555
                     58,                0.55933,                0.40358,                 1.0442,                0.98754,                0.96804,                0.98939,                0.90805,                0.50841,                0.28169,                0.97904,               0.004456,               0.004456,               0.004456
                     59,                0.56192,                0.40049,                 1.0463,                0.98743,                0.96935,                0.98921,                 0.9075,                0.50764,                0.28148,                0.97894,               0.004357,               0.004357,               0.004357
                     60,                0.55479,                0.39573,                 1.0421,                0.98621,                0.97134,                0.98924,                0.90814,                 0.5076,                0.28028,                0.97915,               0.004258,               0.004258,               0.004258
                     61,                0.55162,                0.39203,                 1.0429,                0.98897,                0.97108,                0.98952,                0.90885,                0.50587,                0.28039,                0.97701,               0.004159,               0.004159,               0.004159
                     62,                0.54741,                0.38932,                 1.0392,                0.98827,                0.97219,                0.98945,                0.90914,                0.50515,                0.27905,                0.97709,                0.00406,                0.00406,                0.00406
                     63,                0.54969,                0.38747,                 1.0388,                0.99003,                0.96944,                0.98929,                0.90855,                 0.5031,                0.27797,                0.97483,               0.003961,               0.003961,               0.003961
                     64,                 0.5428,                0.38148,                 1.0345,                0.99036,                0.97308,                0.98935,                0.90937,                0.50184,                0.27682,                 0.9738,               0.003862,               0.003862,               0.003862
                     65,                0.53776,                0.37875,                 1.0323,                0.98992,                0.97315,                0.98965,                0.91013,                0.50066,                0.27452,                0.97279,               0.003763,               0.003763,               0.003763
                     66,                0.53654,                0.37718,                 1.0305,                0.99003,                0.97303,                0.98964,                0.91001,                0.49996,                0.27332,                0.97222,               0.003664,               0.003664,               0.003664
                     67,                0.53612,                0.37989,                 1.0309,                0.98678,                0.97772,                0.98972,                0.90972,                0.49895,                0.27183,                 0.9711,               0.003565,               0.003565,               0.003565
                     68,                0.53074,                0.37534,                 1.0317,                0.98647,                 0.9775,                0.98952,                0.91095,                0.49749,                0.27037,                0.96929,               0.003466,               0.003466,               0.003466
                     69,                0.53059,                0.37534,                 1.0301,                0.98788,                0.97779,                0.98948,                0.91176,                0.49631,                0.26871,                 0.9682,               0.003367,               0.003367,               0.003367
                     70,                0.52688,                0.36839,                 1.0265,                0.98846,                0.97746,                0.98957,                0.91275,                0.49481,                 0.2676,                0.96719,               0.003268,               0.003268,               0.003268
                     71,                0.52938,                0.36639,                 1.0262,                0.98869,                0.97737,                0.98948,                0.91249,                0.49396,                0.26819,                0.96671,               0.003169,               0.003169,               0.003169
                     72,                0.51958,                0.36132,                 1.0244,                0.98939,                0.97816,                 0.9897,                0.91174,                0.49279,                 0.2675,                0.96571,                0.00307,                0.00307,                0.00307
                     73,                0.51646,                  0.362,                 1.0211,                  0.989,                0.97798,                0.98947,                0.91211,                0.49204,                0.26695,                0.96498,               0.002971,               0.002971,               0.002971
                     74,                0.51985,                 0.3621,                 1.0214,                0.98917,                 0.9782,                0.98946,                0.91212,                0.49122,                0.26591,                0.96424,               0.002872,               0.002872,               0.002872
                     75,                0.51195,                0.35474,                  1.018,                0.98918,                0.97623,                0.98963,                0.91282,                0.49085,                0.26575,                0.96383,               0.002773,               0.002773,               0.002773
                     76,                0.51054,                0.35527,                 1.0186,                0.98962,                 0.9761,                0.98966,                0.91194,                0.49032,                0.26578,                0.96325,               0.002674,               0.002674,               0.002674
                     77,                0.50616,                0.35194,                 1.0161,                0.98931,                0.97624,                0.98956,                0.91369,                0.48962,                0.26535,                0.96284,               0.002575,               0.002575,               0.002575
